,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,İlan No:
23, Mercedes - Benz   , C   , C 180 BlueEFFICIENCY Avantgarde   , 2011   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 134.000 km   ,
24, Honda   , Civic   , 1.6 i-VTEC Premium   , 2011   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 129.000 km   ,
25, Honda   , Civic   , 1.6 i-VTEC ECO Elegance   , 2016   , LPG & Benzin   , Otomatik   , 1598 cc   , 125 hp   , 124.000 km   ,
26, Toyota   , Corolla   , 1.4 D-4D Elegant   , 2011   , Dizel   , Düz   , 1364 cc   , 90 hp   , 165.000 km   ,
27, Opel   , Astra   , 1.6 Edition   , 2015   , LPG & Benzin   , Düz   , 1598 cc   , 115 hp   , 138.000 km   ,
28, Peugeot   , 106   , GTI   , 1998   , Benzin   , Düz   , 1587 cc   , 120 hp   , 219.000 km   ,
29, Opel   , Corsa   , 1.4 Enjoy   , 2015   , Benzin   , Yarı Otomatik   , 1201 - 1400 cm3   , 76 - 100 HP   , 47.030 km   ,
30, Tofaş   , Doğan   , SLX ie   , 2000   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 63.495 km   ,
31, Fiat   , Punto   , 1.3 Multijet Pop   , 2012   , Dizel   , Düz   , 1248 cc   , 75 hp   , 175.000 km   ,
32, Peugeot   , 508   , 1.6 e-HDi Access   , 2015   , Dizel   , Yarı Otomatik   , 1560 cc   , 117 hp   , 87.000 km   ,
33, Volkswagen   , Jetta   , 1.6 TDi Highline   , 2012   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 145.000 km   ,
34, Renault   , Fluence   , 1.5 dCi Business   , 2011   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 237.000 km   ,
35, Renault   , R 21   , 1.7 GTS Manager   , 1992   , LPG & Benzin   , Düz   , 1721 cc   , 95 hp   , 279.000 km   ,
36, Renault   , Fluence   , 1.5 dCi Touch   , 2016   , Dizel   , Düz   , 1461 cc   , 90 hp   , 18.059 km   ,
37, Renault   , Clio   , 1.6 RTE   , 2000   , LPG & Benzin   , Düz   , 1598 cc   , 90 hp   , 231.000 km   ,
38, Volkswagen   , Jetta   , 1.6 TDi Highline   , 2013   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 220.000 km   ,
39, Fiat   , Tempra   , 1.6 ie SLX   , 1997   , LPG & Benzin   , Düz   , 1581 cc   , 90 hp   , 167.000 km   ,
40, Volkswagen   , Jetta   , 1.6 TDi Highline   , 2013   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 220.000 km   ,
41, Fiat   , Tempra   , 1.6 ie SLX   , 1997   , LPG & Benzin   , Düz   , 1581 cc   , 90 hp   , 167.000 km   ,
42, Volkswagen   , Passat   , 1.6 Trendline   , 2004   , Benzin   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 299.000 km   ,
43, Nissan   , Micra   , 1.2 Street   , 2015   , Benzin   , Otomatik   , 1198 cc   , 80 hp   , 39.000 km   ,
44, Volkswagen   , Golf   , 1.0 TSi Comfortline   , 2018   , Benzin   , Düz   , 999 cc   , 110 hp   , 31.000 km   ,
45, Citroen   , C-Elysee   , 1.6 HDi Live   , 2017   , Dizel   , Düz   , 1560 cc   , 93 hp   , 122.500 km   ,
46, Fiat   , Egea   , 1.3 Multijet Easy   , 2020   , Dizel   , Düz   , 1248 cc   , 95 hp   , 10 km   ,
47, Ford   , Focus   , 1.6 TDCi Trend   , 2009   , Dizel   , Düz   , 1560 cc   , 90 hp   , 215.250 km   ,
48, Dacia   , Sandero   , 1.5 dCi Stepway   , 2016   , Dizel   , Düz   , 1461 cc   , 90 hp   , 174.000 km   ,
49, Renault   , Fluence   , 1.5 dCi Icon   , 2016   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 163.000 km   ,
50, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2011   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 188.000 km   ,
51, Ford   , Fusion   , 1.4 TDCi Comfort   , 2005   , Dizel   , Düz   , 1399 cc   , 68 hp   , 186.000 km   ,
52, Volkswagen   , Bora   , 1.6 Pacific   , 2005   , LPG & Benzin   , Düz   , 1595 cc   , 105 hp   , 371.000 km   ,
53, Hyundai   , Accent Blue   , 1.6 CRDI Mode Plus   , 2016   , Dizel   , Düz   , 1582 cc   , 136 hp   , 170.000 km   ,
54, Volkswagen   , Jetta   , 1.4 TSi Trendline   , 2012   , Benzin   , Yarı Otomatik   , 1390 cc   , 122 hp   , 196.000 km   ,
55, Dacia   , Sandero   , 0.9 TCe Stepway Ambiance   , 2013   , Benzin   , Düz   , 898 cc   , 90 hp   , 84.000 km   ,
56, Renault   , Scenic   , 1.5 dCi Privilege   , 2012   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 281.000 km   ,
57, Toyota   , Auris   , 1.4 D-4D Advance Skypack   , 2013   , Dizel   , Yarı Otomatik   , 1364 cc   , 90 hp   , 110.500 km   ,
58, Volkswagen   , Passat   , 1.6 TDi BlueMotion Comfortline   , 2013   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 139.000 km   ,
59, Fiat   , Linea   , 1.3 Multijet Pop   , 2017   , Dizel   , Düz   , 1248 cc   , 95 hp   , 115.000 km   ,
60, Hyundai   , Sonata   , 2.0 GLS   , 2005   , LPG & Benzin   , Otomatik   , 1997 cc   , 131 hp   , 220.000 km   ,
61, Renault   , Fluence   , 1.5 dCi Business   , 2010   , Dizel   , Düz   , 1461 cc   , 85 hp   , 320.000 km   ,
62, Renault   , Fluence   , 1.5 dCi Joy   , 2013   , Dizel   , Düz   , 1461 cc   , 90 hp   , 176.000 km   ,
63, Hyundai   , i20   , 1.2 D-CVVT Jump   , 2014   , Benzin   , Düz   , 1248 cc   , 85 hp   , 127.000 km   ,
64, BMW   , 3 Serisi   , 320i ED M Plus   , 2014   , Benzin   , Otomatik   , 1598 cc   , 170 hp   , 110.000 km   ,
65, Volkswagen   , Polo   , 1.2 TSi Lounge   , 2015   , Benzin   , Düz   , 1197 cc   , 90 hp   , 71.500 km   ,
66, Renault   , Megane   , 1.5 dCi Privilege   , 2008   , Dizel   , Düz   , 1461 cc   , 100 hp   , 204.000 km   ,
67, BMW   , 3 Serisi   , 316i Technology   , 2014   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 126 - 150 HP   , 145.000 km   ,
68, Volkswagen   , Golf   , 1.4 TSi Highline   , 2018   , Benzin   , Yarı Otomatik   , 1395 cc   , 125 hp   , 27.000 km   ,
69, Fiat   , Egea   , 1.6 Multijet Lounge Plus   , 2017   , Dizel   , Düz   , 1598 cc   , 120 hp   , 70.600 km   ,
70, Tofaş   , Şahin   , Şahin 5 Vites   , 1991   , LPG & Benzin   , Düz   , 1581 cc   , 80 hp   , 25.335 km   ,
71, Ford   , Escort   , 1.6 CLX   , 1995   , LPG & Benzin   , Düz   , 1401 - 1600 cm3   , 76 - 100 HP   , 259.658 km   ,
72, Ford   , Fiesta   , 1.4 Comfort   , 2006   , LPG & Benzin   , Düz   , 1388 cc   , 80 hp   , 89.000 km   ,
73, Volkswagen   , Passat   , 2.0 TDi BlueMotion Comfortline   , 2013   , Dizel   , Yarı Otomatik   , 1968 cc   , 140 hp   , 157.000 km   ,
74, Toyota   , Corolla   , 1.4 D-4D Elegant   , 2012   , Dizel   , Yarı Otomatik   , 1364 cc   , 90 hp   , 140.900 km   ,
75, Renault   , Symbol   , 1.2 Joy   , 2014   , Benzin   , Düz   , 1149 cc   , 75 hp   , 178.000 km   ,
76, Renault   , Megane   , 1.5 dCi Dynamique   , 2005   , Dizel   , Düz   , 1461 cc   , 106 hp   , 320.000 km   ,
77, Volkswagen   , Golf   , 1.6 TDi BlueMotion Midline Plus   , 2016   , Dizel   , Düz   , 1598 cc   , 90 hp   , 97.000 km   ,
78, Fiat   , Linea   , 1.3 Multijet Emotion   , 2012   , Dizel   , Düz   , 1248 cc   , 90 hp   , 148.000 km   ,
79, Honda   , Jazz   , 1.4 LS Sport   , 2007   , Benzin   , Otomatik   , 1339 cc   , 83 hp   , 179.000 km   ,
80, Seat   , Ibiza   , 1.4 Style   , 2013   , Benzin   , Düz   , 1390 cc   , 85 hp   , 56.000 km   ,
81, Ford   , Fiesta   , 1.4 TDCi Comfort   , 2004   , Dizel   , Düz   , 1399 cc   , 68 hp   , 177.400 km   ,
82, Hyundai   , Matrix   , 1.5 CRDi Team   , 2009   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 375.000 km   ,
83, Hyundai   , Accent Era   , 1.6 Select   , 2010   , LPG & Benzin   , Düz   , 1599 cc   , 112 hp   , 121.000 km   ,
84, Fiat   , Linea   , 1.3 Multijet Pop   , 2017   , Dizel   , Düz   , 1248 cc   , 95 hp   , 86.000 km   ,
85, Volkswagen   , Polo   , 1.4 TDi Comfortline   , 2017   , Dizel   , Yarı Otomatik   , 1422 cc   , 90 hp   , 75.000 km   ,
86, Hyundai   , i20   , 1.4 CRDi Style   , 2016   , Dizel   , Düz   , 1396 cc   , 90 hp   , 93.425 km   ,
87, Opel   , Insignia   , 1.6 Edition   , 2009   , LPG & Benzin   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 221.600 km   ,
88, Renault   , Clio   , 1.4 RTA   , 2000   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 280.000 km   ,
89, Renault   , Fluence   , 1.5 dCi Touch   , 2016   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 100.000 km   ,
90, Renault   , Megane   , 1.6 Joy   , 2016   , LPG & Benzin   , Düz   , 1598 cc   , 115 hp   , 139.000 km   ,
91, Honda   , Civic   , 1.6 i-VTEC Premium   , 2009   , LPG & Benzin   , Düz   , 1595 cc   , 125 hp   , 155.000 km   ,
92, Renault   , Clio   , 1.5 dCi Joy   , 2016   , Dizel   , Düz   , 1401 - 1600 cm3   , 51 - 75 HP   , 108.000 km   ,
93, Fiat   , Egea   , 1.4 Fire Easy   , 2019   , Benzin   , Düz   , 1368 cc   , 95 hp   , 15.800 km   ,
94, BMW   , 1 Serisi   , 116i Comfort   , 2012   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 126 - 150 HP   , 95.000 km   ,
95, Mercedes - Benz   , C   , C 200 d BlueTEC AMG   , 2016   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 80.000 km   ,
96, BMW   , 5 Serisi   , 520i Executive   , 2016   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 141.000 km   ,
97, Nissan   , Micra   , 1.2 Platinum   , 2012   , Benzin   , Otomatik   , 1198 cc   , 80 hp   , 71.500 km   ,
98, Hyundai   , i20   , 1.4 CRDi Jump   , 2019   , Dizel   , Düz   , 1396 cc   , 90 hp   , 44.800 km   ,
99, Volkswagen   , Golf   , 1.4 TSi Highline   , 2016   , Benzin   , Yarı Otomatik   , 1395 cc   , 125 hp   , 105.000 km   ,
100, Seat   , Ibiza   , 1.4 Reference   ,,, Düz   , 1390 cc   , 85 hp   , 84.000 km   ,
101, Opel   , Astra   , 1.6 CDTI Sport   , 2014   , Dizel   , Düz   , 1598 cc   , 136 hp   , 99.000 km   ,
102, Skoda   , Octavia   , 1.6 TDI Optimal   , 2016   , Dizel   , Yarı Otomatik   , 1598 cc   , 110 hp   , 70.000 km   ,
103, Renault   , Clio   , 1.5 dCi Joy   , 2018   , Dizel   , Düz   , 1461 cc   , 75 hp   , 75.000 km   ,
104, Skoda   , Octavia   , 1.6 TDI Optimal   , 2017   , Dizel   , Yarı Otomatik   , 1598 cc   , 115 hp   , 75.000 km   ,
105, Renault   , Megane   , 1.5 dCi Icon   , 2017   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 135.000 km   ,
106, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Düz   , 1461 cc   , 90 hp   , 131.000 km   ,
107, Opel   , Vectra   , 1.6 Comfort   , 2004   , LPG & Benzin   , Düz   , 1598 cc   , 100 hp   , 116.000 km   ,
108, Fiat   , Linea   , 1.6 Multijet Dynamic Plus   , 2011   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 195.000 km   ,
109, Volkswagen   , Jetta   , 1.6 TDi Trendline   , 2014   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 116.000 km   ,
110, Peugeot   , 308   , 1.6 BlueHdi Style   , 2016   , Dizel   , Otomatik   , 1560 cc   , 122 hp   , 73.000 km   ,
111, Renault   , Fluence   , 1.5 dCi Icon   , 2015   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 212.123 km   ,
112, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 134.000 km   ,
113, Renault   , Fluence   , 1.5 dCi Icon   , 2015   , Dizel   , Düz   , 1461 cc   , 110 hp   , 172.000 km   ,
114, Renault   , Clio   , 1.5 dCi Expression   , 2005   , Dizel   , Düz   , 1401 - 1600 cm3   , 51 - 75 HP   , 239.000 km   ,
115, Renault   , Fluence   , 1.6 Privilege   , 2011   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 232.000 km   ,
116, Volkswagen   , Passat   , 1.6 FSi Trendline   , 2008   , LPG & Benzin   , Düz   , 1598 cc   , 115 hp   , 238.000 km   ,
117, Volvo   , S40   , 1.6 D   , 2012   , Dizel   , Düz   , 1560 cc   , 115 hp   , 199.900 km   ,
118, Fiat   , Linea   , 1.3 Multijet Actual   , 2014   , Dizel   , Düz   , 1248 cc   , 95 hp   , 179.000 km   ,
119, Chevrolet   , Cruze   , 1.6 LS   , 2009   , LPG & Benzin   , Düz   , 1598 cc   , 113 hp   , 159.000 km   ,
120, Ford   , Fiesta   , 1.5 TDCi Titanium   , 2016   , Dizel   , Düz   , 1401 - 1600 cm3   , 76 - 100 HP   , 137.000 km   ,
121, Opel   , Astra   , 1.3 CDTI Enjoy Plus   , 2012   , Dizel   , Düz   , 1248 cc   , 95 hp   , 130.000 km   ,
122, Daewoo   , Espero   , 2.0i   , 1996   , LPG & Benzin   , Düz   , 1998 cc   , 105 hp   , 440 km   ,
123, Volkswagen   , Passat   , 1.6 TDi BlueMotion Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 120 hp   , 168.500 km   ,
124, Volkswagen   , Jetta   , 1.2 TSi Highline   , 2012   , Benzin   , Düz   , 1197 cc   , 105 hp   , 86.000 km   ,
125, Seat   , Leon   , 1.5 EcoTSI Xcellence   , 2020   , Benzin   , Yarı Otomatik   , 1498 cc   , 150 hp   , 4.000 km   ,
126, Volkswagen   , Passat   , 2.0 TDi Comfortline   , 2007   , Dizel   , Yarı Otomatik   , 1968 cc   , 140 hp   , 240.000 km   ,
127, Volkswagen   , Passat   , 1.6 TDi BlueMotion Impression   , 2017   , Dizel   , Yarı Otomatik   , 1598 cc   , 120 hp   , 100.000 km   ,
128, Skoda   , SuperB   , 1.6 TDI Elite   , 2020   , Dizel   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 25.000 km   ,
129, Citroen   , C-Elysee   , 1.6 HDi Exclusive   , 2014   , Dizel   , Düz   , 1560 cc   , 93 hp   , 125.000 km   ,
130, Opel   , Astra   , 1.3 CDTI Enjoy   , 2008   , Dizel   , Düz   , 1248 cc   , 90 hp   , 230.000 km   ,
131, Volkswagen   , Polo   , 1.4 Trendline   , 2009   , LPG & Benzin   , Düz   , 1390 cc   , 80 hp   , 242.000 km   ,
132, Ford   , Focus   , 1.6 TDCi Collection   , 2010   , Dizel   , Düz   , 1560 cc   , 90 hp   , 260.000 km   ,
133, Suzuki   , Swift   , 1.2 GLX   , 2020   , Benzin   , Otomatik   , 1242 cc   , 90 hp   , 12.500 km   ,
134, Ford   , Focus   , 1.5 TDCi Trend X   , 2016   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 159.000 km   ,
135, Ford   , Focus   , 1.6 TDCi Trend X   , 2010   , Dizel   , Düz   , 1560 cc   , 90 hp   , 213.000 km   ,
136, Ford   , Focus   , 1.6 TDCi Titanium   , 2012   , Dizel   , Düz   , 1560 cc   , 115 hp   , 150.000 km   ,
137, Ford   , Fiesta   , 1.4 Comfort   , 2006   , LPG & Benzin   , Düz   , 1388 cc   , 80 hp   , 180.000 km   ,
138, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2014   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 200.000 km   ,
139, Citroen   , C-Elysee   , 1.6 HDi Live   , 2017   , Dizel   , Düz   , 1560 cc   , 93 hp   , 42.000 km   ,
140, Honda   , Civic   , 1.6 i-VTEC ES   , 2003   , LPG & Benzin   , Otomatik   , 1590 cc   , 110 hp   , 326.000 km   ,
141, Fiat   , Punto   , Grande 1.3 Multijet 1.3 Multijet   , 2011   , Dizel   , Düz   , 1248 cc   , 75 hp   , 202.000 km   ,
142, Renault   , Clio   , 1.5 dCi Joy   , 2016   , Dizel   , Düz   , 1461 cc   , 75 hp   , 122.500 km   ,
143, Citroen   , C-Elysee   , 1.6 HDi Live   , 2017   , Dizel   , Düz   , 1560 cc   , 93 hp   , 123.000 km   ,
144, Peugeot   , 106   , XR   , 1998   , LPG & Benzin   , Düz   , 1360 cc   , 76 hp   , 193.500 km   ,
145, Honda   , Jazz   , 1.4 ES Elite   , 2005   , Benzin   , Otomatik   , 1339 cc   , 83 hp   , 140.000 km   ,
146, Honda   , City   , 1.4 ES   , 2010   , Benzin   , Düz   , 1339 cc   , 100 hp   , 98.000 km   ,
147, Mercedes - Benz   , 250   , D   , 1989   , Dizel   , Düz   , 2497 cc   , 126 hp   , 468.000 km   ,
148, Renault   , Megane   , 1.6 Dynamique   , 2011   , LPG & Benzin   , Düz   , 1598 cc   , 110 hp   , 179.000 km   ,
149, Volkswagen   , Golf   , 1.6 TDi BlueMotion Comfortline   , 2014   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 209.000 km   ,
150, Toyota   , Corolla   , 1.4 D-4D Advance   , 2017   , Dizel   , Düz   , 1364 cc   , 90 hp   , 122.000 km   ,
151, Volkswagen   , Polo   , 1.4 TDi Comfortline   , 2016   , Dizel   , Yarı Otomatik   , 1422 cc   , 90 hp   , 128.000 km   ,
152, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 235.000 km   ,
153, Fiat   , Punto   , 1.3 Multijet Dynamic   , 2007   , Dizel   , Düz   , 1201 - 1400 cm3   , 76 - 100 HP   , 220.000 km   ,
154, Opel   , Vectra   , 1.6 Comfort   , 2004   , LPG & Benzin   , Düz   , 1598 cc   , 100 hp   , 340.000 km   ,
155, Volkswagen   , Golf   , 1.6 TDi BlueMotion Highline   , 2014   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 141.000 km   ,
156, Chevrolet   , Cruze   , 1.6 LS   , 2011   , Benzin   , Otomatik   , 1598 cc   , 124 hp   , 135.000 km   ,
157, Volkswagen   , Golf   , 1.6 Primeline   , 2004   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 105.000 km   ,
158, Renault   , Fluence   , 1.5 dCi Touch   , 2016   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 98.000 km   ,
159, Toyota   , Auris   , 1.6 Advance   , 2018   , Benzin   , Otomatik   , 1598 cc   , 132 hp   , 45.000 km   ,
160, Peugeot   , 308   , 1.6 VTi Envy   , 2011   , LPG & Benzin   , Otomatik   , 1598 cc   , 122 hp   , 132.000 km   ,
161, Toyota   , Corolla   , 1.6 Comfort   , 2008   , LPG & Benzin   , Yarı Otomatik   , 1598 cc   , 124 hp   , 216.000 km   ,
162, Dacia   , Logan   , 1.5 dCi MCV Ambiance   , 2014   , Dizel   , Düz   , 1461 cc   , 75 hp   , 98.000 km   ,
163, Volkswagen   , Passat   , 2.0 TDi BlueMotion Comfortline   , 2011   , Dizel   , Yarı Otomatik   , 1968 cc   , 140 hp   , 264.000 km   ,
164, Renault   , Latitude   , 2.0 dCi Executive   , 2011   , Dizel   , Otomatik   , 1995 cc   , 175 hp   , 253.000 km   ,
165, Ford   , Focus   , 1.6 TDCi Titanium   , 2011   , Dizel   , Düz   , 1560 cc   , 110 hp   , 170.000 km   ,
166, Ford   , Focus   , 1.6 TDCi Trend X   , 2014   , Dizel   , Düz   , 1401 - 1600 cm3   , 76 - 100 HP   , 90.000 km   ,
167, Mercedes - Benz   , C   , C 200 BlueTEC AMG   , 2015   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 142.000 km   ,
168, Renault   , Megane   , 1.5 dCi Icon   , 2016   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 98.000 km   ,
169, Renault   , Megane   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 123.305 km   ,
170, Opel   , Astra   , 1.3 CDTI Essentia Konfor   , 2011   , Dizel   , Düz   , 1248 cc   , 90 hp   , 170.000 km   ,
171, BMW   , 3 Serisi   , 320i ED M Plus   , 2014   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 97.000 km   ,
172, Renault   , Megane   , 1.6 Coupe 1.6 e   , 1999   , LPG & Benzin   , Düz   , 1598 cc   , 90 hp   , 309.000 km   ,
173, Toyota   , Corolla   , 1.6 Advance   , 2015   , LPG & Benzin   , Düz   , 1598 cc   , 132 hp   , 64.300 km   ,
174, Fiat   , Tipo   , 1.4 ie   , 1998   , LPG & Benzin   , Düz   , 1372 cc   , 70 hp   , 133.000 km   ,
175, Opel   , Astra   , 1.6 GLS   , 1995   , LPG & Benzin   , Otomatik   , 1598 cc   , 100 hp   , 249.000 km   ,
176, Renault   , Clio   , 1.4 Authentique   , 2004   , LPG & Benzin   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 275.000 km   ,
177, Opel   , Astra   , 2.0 GSi   , 1997   , LPG & Benzin   , Düz   , 1998 cc   , 150 hp   , 270.000 km   ,
178, Renault   , Symbol   , 1.5 dCi Joy   , 2015   , Dizel   , Düz   , 1461 cc   , 90 hp   , 138.000 km   ,
179, Volkswagen   , Golf   , 1.6 TDi BlueMotion Comfortline   , 2017   , Dizel   , Düz   , 1598 cc   , 115 hp   , 102.000 km   ,
180, Honda   , Civic   , 1.6 i-VTEC ES   , 2003   , LPG & Benzin   , Otomatik   , 1590 cc   , 110 hp   , 311.000 km   ,
181, Citroen   , C3   , 1.4 SX   , 2004   , Benzin   , Yarı Otomatik   , 1360 cc   , 91 hp   , 102.500 km   ,
182, Toyota   , Corolla   , 1.33 Life   , 2016   , Benzin   , Düz   , 1329 cc   , 99 hp   , 29.900 km   ,
183, Ford   , Focus   , 1.6 TDCi Style   , 2017   , Dizel   , Düz   , 1560 cc   , 115 hp   , 166.000 km   ,
184, Peugeot   , 206   , 1.4 Fever   , 2008   , LPG & Benzin   , Otomatik   , 1360 cc   , 76 hp   , 210.000 km   ,
185, Peugeot   , 301   , 1.6 HDi Active   , 2016   , Dizel   , Düz   , 1560 cc   , 93 hp   , 170.001 km   ,
186, Skoda   , Octavia   , 1.6 TDI Elegance   , 2012   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 160.000 km   ,
187, Seat   , Leon   , 1.2 TSI Style   , 2013   , Benzin   , Düz   , 1197 cc   , 105 hp   , 125.000 km   ,
188, Chrysler   , 300 C   , 2.7   , 2005   , LPG & Benzin   , Otomatik   , 2736 cc   , 190 hp   , 244.000 km   ,
189, Renault   , Megane   , 1.6 RTE   , 2000   , LPG & Benzin   , Düz   , 1598 cc   , 107 hp   , 320.000 km   ,
190, Nissan   , Micra   , 1.2 Tekna   , 2008   , Benzin   , Otomatik   , 1240 cc   , 80 hp   , 58.000 km   ,
